,station,date,tmax,tmin,tavg,dewpoint,wetbulb,codesum,preciptotal,year,month,week,humidity
0,1,2007-05-01,83,50,67.0,51,56, ,0.0,2007,5,18,56.41023806472434
1,2,2007-05-01,84,52,68.0,51,57, ,0.0,2007,5,18,54.497276281177406
2,1,2007-05-02,59,42,51.0,42,47,BR,0.0,2007,5,18,71.17693908994062
3,2,2007-05-02,60,43,52.0,42,47,BR HZ,0.0,2007,5,18,68.594699094363
4,1,2007-05-03,66,46,56.0,40,48, ,0.0,2007,5,18,54.84885958603458
5,2,2007-05-03,67,48,58.0,40,50,HZ,0.0,2007,5,18,51.03023255339122
6,1,2007-05-04,66,49,58.0,41,50,RA,0.005,2007,5,18,53.04888415568561
7,2,2007-05-04,78,51,64.0,42,50, ,0.0,2007,5,18,44.56859570116441
8,1,2007-05-05,66,53,60.0,38,49, ,0.005,2007,5,18,43.93710014574971
9,2,2007-05-05,66,54,60.0,39,50, ,0.005,2007,5,18,45.691135780344744
10,1,2007-05-06,68,49,59.0,30,46, ,0.0,2007,5,18,33.07680833547082
11,2,2007-05-06,68,52,60.0,30,46, ,0.0,2007,5,18,31.91694960547223
12,1,2007-05-07,83,47,65.0,41,54,RA,0.005,2007,5,19,41.407662853927874
13,2,2007-05-07,84,50,67.0,39,53, ,0.0,2007,5,19,35.73967643765382
14,1,2007-05-08,82,54,68.0,58,62,BR,0.0,2007,5,19,70.3500341906023
15,2,2007-05-08,80,60,70.0,57,63,HZ,0.005,2007,5,19,63.365166672408776
16,1,2007-05-09,77,61,69.0,59,63,BR HZ,0.13,2007,5,19,70.4552272678883
17,2,2007-05-09,76,63,70.0,60,63,BR HZ,0.02,2007,5,19,70.55990715762363
18,1,2007-05-10,84,56,70.0,52,60,BR,0.0,2007,5,19,52.80147113979146
19,2,2007-05-10,83,59,71.0,52,61,BR HZ,0.0,2007,5,19,51.032969620861465
20,1,2007-05-11,70,51,61.0,42,51, ,0.0,2007,5,19,49.5384834011483
21,2,2007-05-11,73,49,61.0,44,51, ,0.0,2007,5,19,53.489222585624475
22,1,2007-05-12,64,46,55.0,36,46, ,0.0,2007,5,19,48.61640558435118
23,2,2007-05-12,65,47,56.0,37,46, ,0.0,2007,5,19,48.77141942984007
24,1,2007-05-13,69,43,56.0,33,46, ,0.0,2007,5,19,41.598614305277
25,2,2007-05-13,69,44,57.0,32,46, ,0.0,2007,5,19,38.53952444668275
26,1,2007-05-14,90,56,73.0,47,59, ,0.0,2007,5,20,39.58164504515501
27,2,2007-05-14,90,54,72.0,45,58, ,0.0,2007,5,20,37.95619680259921
28,1,2007-05-15,80,57,69.0,56,61,RA BR,0.38,2007,5,20,63.24179235088773
29,2,2007-05-15,82,56,69.0,56,61,TSRA RA BR,0.6,2007,5,20,63.24179235088773
30,1,2007-05-16,66,44,55.0,43,48,RA BR,0.14,2007,5,20,63.864667476624994
31,2,2007-05-16,64,45,55.0,42,47,RA BR,0.07,2007,5,20,61.455645098499886
32,1,2007-05-17,62,43,53.0,32,43, ,0.0,2007,5,20,44.57917647566113
33,2,2007-05-17,61,44,53.0,32,43, ,0.0,2007,5,20,44.57917647566113
34,1,2007-05-18,71,42,57.0,30,46, ,0.0,2007,5,20,35.540930753951436
35,2,2007-05-18,70,43,57.0,31,47, ,0.0,2007,5,20,37.01329899925189
36,1,2007-05-19,80,56,68.0,39,53, ,0.0,2007,5,20,34.52768660164003
37,2,2007-05-19,80,56,68.0,37,53, ,0.0,2007,5,20,31.921967677082066
38,1,2007-05-20,69,43,56.0,40,44,RA VCTS,0.07,2007,5,20,54.84885958603458
39,2,2007-05-20,69,44,57.0,41,45,TSRA RA,0.11,2007,5,20,54.9936389390944
